ccode	rcode_sub	rcode
BF	011	002
BJ	011	002
CI	011	002
CV	011	002
GH	011	002
GM	011	002
GN	011	002
GW	011	002
LR	011	002
ML	011	002
MR	011	002
NE	011	002
NG	011	002
SH	011	002
SL	011	002
SN	011	002
TG	011	002
BI	014	002
DJ	014	002
ER	014	002
ET	014	002
KE	014	002
KM	014	002
MG	014	002
MU	014	002
MW	014	002
MZ	014	002
RE	014	002
RW	014	002
SC	014	002
SO	014	002
SS	014	002
TZ	014	002
UG	014	002
YT	014	002
ZM	014	002
ZW	014	002
DZ	015	002
EA	015	002
EG	015	002
EH	015	002
IC	015	002
LY	015	002
MA	015	002
SD	015	002
TN	015	002
AO	017	002
CD	017	002
CF	017	002
CG	017	002
CM	017	002
GA	017	002
GQ	017	002
ST	017	002
TD	017	002
BW	018	002
LS	018	002
NA	018	002
SZ	018	002
ZA	018	002
AU	053	009
NF	053	009
NZ	053	009
FJ	054	009
NC	054	009
PG	054	009
SB	054	009
VU	054	009
FM	057	009
GU	057	009
KI	057	009
MH	057	009
MP	057	009
NR	057	009
PW	057	009
AS	061	009
CK	061	009
NU	061	009
PF	061	009
PN	061	009
TK	061	009
TO	061	009
TV	061	009
WF	061	009
WS	061	009
AC	QO	009
AQ	QO	009
BV	QO	009
CC	QO	009
CP	QO	009
CX	QO	009
DG	QO	009
GS	QO	009
HM	QO	009
IO	QO	009
TA	QO	009
TF	QO	009
UM	QO	009
AR	005	019
BO	005	019
BR	005	019
CL	005	019
CO	005	019
EC	005	019
FK	005	019
GF	005	019
GY	005	019
PE	005	019
PY	005	019
SR	005	019
UY	005	019
VE	005	019
BZ	013	019
CR	013	019
GT	013	019
HN	013	019
MX	013	019
NI	013	019
PA	013	019
SV	013	019
BM	021	019
CA	021	019
GL	021	019
PM	021	019
US	021	019
AG	029	019
AI	029	019
AW	029	019
BB	029	019
BL	029	019
BQ	029	019
BS	029	019
CU	029	019
CW	029	019
DM	029	019
DO	029	019
GD	029	019
GP	029	019
HT	029	019
JM	029	019
KN	029	019
KY	029	019
LC	029	019
MF	029	019
MQ	029	019
MS	029	019
PR	029	019
SX	029	019
TC	029	019
TT	029	019
VC	029	019
VG	029	019
VI	029	019
CN	030	142
HK	030	142
JP	030	142
KP	030	142
KR	030	142
MN	030	142
MO	030	142
TW	030	142
AF	034	142
BD	034	142
BT	034	142
IN	034	142
IR	034	142
LK	034	142
MV	034	142
NP	034	142
PK	034	142
BN	035	142
ID	035	142
KH	035	142
LA	035	142
MM	035	142
MY	035	142
PH	035	142
SG	035	142
TH	035	142
TL	035	142
VN	035	142
KG	143	142
KZ	143	142
TJ	143	142
TM	143	142
UZ	143	142
AE	145	142
AM	145	142
AZ	145	142
BH	145	142
CY	145	142
GE	145	142
IL	145	142
IQ	145	142
JO	145	142
KW	145	142
LB	145	142
OM	145	142
PS	145	142
QA	145	142
SA	145	142
SY	145	142
TR	145	142
YE	145	142
AD	039	150
AL	039	150
BA	039	150
ES	039	150
GI	039	150
GR	039	150
HR	039	150
IT	039	150
ME	039	150
MK	039	150
MT	039	150
PT	039	150
RS	039	150
SI	039	150
SM	039	150
VA	039	150
XK	039	150
BG	151	150
BY	151	150
CZ	151	150
HU	151	150
MD	151	150
PL	151	150
RO	151	150
RU	151	150
SK	151	150
UA	151	150
AX	154	150
DK	154	150
EE	154	150
FI	154	150
FO	154	150
GB	154	150
GG	154	150
IE	154	150
IM	154	150
IS	154	150
JE	154	150
LT	154	150
LV	154	150
NO	154	150
SE	154	150
SJ	154	150
AT	155	150
BE	155	150
CH	155	150
DE	155	150
FR	155	150
LI	155	150
LU	155	150
MC	155	150
NL	155	150
