ccode	rcode_sub	rcode	cname	r_sub	rname
BF	011	002	布吉納法索	西非	非洲
BJ	011	002	貝南	西非	非洲
CI	011	002	象牙海岸	西非	非洲
CV	011	002	維德角	西非	非洲
GH	011	002	迦納	西非	非洲
GM	011	002	甘比亞	西非	非洲
GN	011	002	幾內亞	西非	非洲
GW	011	002	幾內亞比索	西非	非洲
LR	011	002	賴比瑞亞	西非	非洲
ML	011	002	馬利	西非	非洲
MR	011	002	茅利塔尼亞	西非	非洲
NE	011	002	尼日	西非	非洲
NG	011	002	奈及利亞	西非	非洲
SH	011	002	聖赫勒拿島	西非	非洲
SL	011	002	獅子山	西非	非洲
SN	011	002	塞內加爾	西非	非洲
TG	011	002	多哥	西非	非洲
BI	014	002	蒲隆地	東非	非洲
DJ	014	002	吉布地	東非	非洲
ER	014	002	厄利垂亞	東非	非洲
ET	014	002	衣索比亞	東非	非洲
KE	014	002	肯亞	東非	非洲
KM	014	002	葛摩	東非	非洲
MG	014	002	馬達加斯加	東非	非洲
MU	014	002	模里西斯	東非	非洲
MW	014	002	馬拉威	東非	非洲
MZ	014	002	莫三比克	東非	非洲
RE	014	002	留尼旺	東非	非洲
RW	014	002	盧安達	東非	非洲
SC	014	002	塞席爾	東非	非洲
SO	014	002	索馬利亞	東非	非洲
SS	014	002	南蘇丹	東非	非洲
TZ	014	002	坦尚尼亞	東非	非洲
UG	014	002	烏干達	東非	非洲
YT	014	002	馬約特	東非	非洲
ZM	014	002	尚比亞	東非	非洲
ZW	014	002	辛巴威	東非	非洲
DZ	015	002	阿爾及利亞	北非	非洲
EA	015	002	休達與梅利利亞	北非	非洲
EG	015	002	埃及	北非	非洲
EH	015	002	西撒哈拉	北非	非洲
IC	015	002	加那利群島	北非	非洲
LY	015	002	利比亞	北非	非洲
MA	015	002	摩洛哥	北非	非洲
SD	015	002	蘇丹	北非	非洲
TN	015	002	突尼西亞	北非	非洲
AO	017	002	安哥拉	中非	非洲
CD	017	002	剛果（金夏沙）	中非	非洲
CF	017	002	中非共和國	中非	非洲
CG	017	002	剛果（布拉薩）	中非	非洲
CM	017	002	喀麥隆	中非	非洲
GA	017	002	加彭	中非	非洲
GQ	017	002	赤道幾內亞	中非	非洲
ST	017	002	聖多美普林西比	中非	非洲
TD	017	002	查德	中非	非洲
BW	018	002	波札那	非洲南部	非洲
LS	018	002	賴索托	非洲南部	非洲
NA	018	002	納米比亞	非洲南部	非洲
SZ	018	002	史瓦濟蘭	非洲南部	非洲
ZA	018	002	南非	非洲南部	非洲
AU	053	009	澳洲	澳洲與紐西蘭	大洋洲
NF	053	009	諾福克島	澳洲與紐西蘭	大洋洲
NZ	053	009	紐西蘭	澳洲與紐西蘭	大洋洲
FJ	054	009	斐濟	美拉尼西亞	大洋洲
NC	054	009	新喀里多尼亞	美拉尼西亞	大洋洲
PG	054	009	巴布亞紐幾內亞	美拉尼西亞	大洋洲
SB	054	009	索羅門群島	美拉尼西亞	大洋洲
VU	054	009	萬那杜	美拉尼西亞	大洋洲
FM	057	009	密克羅尼西亞群島	密克羅尼西亞	大洋洲
GU	057	009	關島	密克羅尼西亞	大洋洲
KI	057	009	吉里巴斯	密克羅尼西亞	大洋洲
MH	057	009	馬紹爾群島	密克羅尼西亞	大洋洲
MP	057	009	北馬里亞納群島	密克羅尼西亞	大洋洲
NR	057	009	諾魯	密克羅尼西亞	大洋洲
PW	057	009	帛琉	密克羅尼西亞	大洋洲
AS	061	009	美屬薩摩亞	玻里尼西亞	大洋洲
CK	061	009	庫克群島	玻里尼西亞	大洋洲
NU	061	009	紐埃島	玻里尼西亞	大洋洲
PF	061	009	法屬玻里尼西亞	玻里尼西亞	大洋洲
PN	061	009	皮特肯群島	玻里尼西亞	大洋洲
TK	061	009	托克勞群島	玻里尼西亞	大洋洲
TO	061	009	東加	玻里尼西亞	大洋洲
TV	061	009	吐瓦魯	玻里尼西亞	大洋洲
WF	061	009	瓦利斯和富圖納群島	玻里尼西亞	大洋洲
WS	061	009	薩摩亞	玻里尼西亞	大洋洲
AC	QO	009	阿森松島	大洋洲邊疆群島	大洋洲
AQ	QO	009	南極洲	大洋洲邊疆群島	大洋洲
BV	QO	009	布威島	大洋洲邊疆群島	大洋洲
CC	QO	009	科科斯（基林）群島	大洋洲邊疆群島	大洋洲
CP	QO	009	克里派頓島	大洋洲邊疆群島	大洋洲
CX	QO	009	聖誕島	大洋洲邊疆群島	大洋洲
DG	QO	009	迪亞哥加西亞島	大洋洲邊疆群島	大洋洲
GS	QO	009	南喬治亞與南三明治群島	大洋洲邊疆群島	大洋洲
HM	QO	009	赫德島和麥克唐納群島	大洋洲邊疆群島	大洋洲
IO	QO	009	英屬印度洋領地	大洋洲邊疆群島	大洋洲
TA	QO	009	特里斯坦達庫尼亞群島	大洋洲邊疆群島	大洋洲
TF	QO	009	法屬南方屬地	大洋洲邊疆群島	大洋洲
UM	QO	009	美國本土外小島嶼	大洋洲邊疆群島	大洋洲
AR	005	019	阿根廷	南美洲	美洲
BO	005	019	玻利維亞	南美洲	美洲
BR	005	019	巴西	南美洲	美洲
