ccode	rcode_sub	rcode	cname	r_sub	rname
BF	011	002	布基纳法索	西非	非洲
BJ	011	002	贝宁	西非	非洲
CI	011	002	科特迪瓦	西非	非洲
CV	011	002	佛得角	西非	非洲
GH	011	002	加纳	西非	非洲
GM	011	002	冈比亚	西非	非洲
GN	011	002	几内亚	西非	非洲
GW	011	002	几内亚比绍	西非	非洲
LR	011	002	利比里亚	西非	非洲
ML	011	002	马里	西非	非洲
MR	011	002	毛里塔尼亚	西非	非洲
NE	011	002	尼日尔	西非	非洲
NG	011	002	尼日利亚	西非	非洲
SH	011	002	圣赫勒拿	西非	非洲
SL	011	002	塞拉利昂	西非	非洲
SN	011	002	塞内加尔	西非	非洲
TG	011	002	多哥	西非	非洲
BI	014	002	布隆迪	东非	非洲
DJ	014	002	吉布提	东非	非洲
ER	014	002	厄立特里亚	东非	非洲
ET	014	002	埃塞俄比亚	东非	非洲
KE	014	002	肯尼亚	东非	非洲
KM	014	002	科摩罗	东非	非洲
MG	014	002	马达加斯加	东非	非洲
MU	014	002	毛里求斯	东非	非洲
MW	014	002	马拉维	东非	非洲
MZ	014	002	莫桑比克	东非	非洲
RE	014	002	留尼汪	东非	非洲
RW	014	002	卢旺达	东非	非洲
SC	014	002	塞舌尔	东非	非洲
SO	014	002	索马里	东非	非洲
SS	014	002	南苏丹	东非	非洲
TZ	014	002	坦桑尼亚	东非	非洲
UG	014	002	乌干达	东非	非洲
YT	014	002	马约特	东非	非洲
ZM	014	002	赞比亚	东非	非洲
ZW	014	002	津巴布韦	东非	非洲
DZ	015	002	阿尔及利亚	北非	非洲
EA	015	002	休达及梅利利亚	北非	非洲
EG	015	002	埃及	北非	非洲
EH	015	002	西撒哈拉	北非	非洲
IC	015	002	加纳利群岛	北非	非洲
LY	015	002	利比亚	北非	非洲
MA	015	002	摩洛哥	北非	非洲
SD	015	002	苏丹	北非	非洲
TN	015	002	突尼斯	北非	非洲
AO	017	002	安哥拉	中非	非洲
CD	017	002	刚果（金）	中非	非洲
CF	017	002	中非共和国	中非	非洲
CG	017	002	刚果（布）	中非	非洲
CM	017	002	喀麦隆	中非	非洲
GA	017	002	加蓬	中非	非洲
GQ	017	002	赤道几内亚	中非	非洲
ST	017	002	圣多美和普林西比	中非	非洲
TD	017	002	乍得	中非	非洲
BW	018	002	博茨瓦纳	南部非洲	非洲
LS	018	002	莱索托	南部非洲	非洲
NA	018	002	纳米比亚	南部非洲	非洲
SZ	018	002	斯威士兰	南部非洲	非洲
ZA	018	002	南非	南部非洲	非洲
AU	053	009	澳大利亚	澳大拉西亚	大洋洲
NF	053	009	诺福克岛	澳大拉西亚	大洋洲
NZ	053	009	新西兰	澳大拉西亚	大洋洲
FJ	054	009	斐济	美拉尼西亚	大洋洲
NC	054	009	新喀里多尼亚	美拉尼西亚	大洋洲
PG	054	009	巴布亚新几内亚	美拉尼西亚	大洋洲
SB	054	009	所罗门群岛	美拉尼西亚	大洋洲
VU	054	009	瓦努阿图	美拉尼西亚	大洋洲
FM	057	009	密克罗尼西亚	密克罗尼西亚地区	大洋洲
GU	057	009	关岛	密克罗尼西亚地区	大洋洲
KI	057	009	基里巴斯	密克罗尼西亚地区	大洋洲
MH	057	009	马绍尔群岛	密克罗尼西亚地区	大洋洲
MP	057	009	北马里亚纳群岛	密克罗尼西亚地区	大洋洲
NR	057	009	瑙鲁	密克罗尼西亚地区	大洋洲
PW	057	009	帕劳	密克罗尼西亚地区	大洋洲
AS	061	009	美属萨摩亚	玻利尼西亚	大洋洲
CK	061	009	库克群岛	玻利尼西亚	大洋洲
NU	061	009	纽埃	玻利尼西亚	大洋洲
PF	061	009	法属波利尼西亚	玻利尼西亚	大洋洲
PN	061	009	皮特凯恩群岛	玻利尼西亚	大洋洲
TK	061	009	托克劳	玻利尼西亚	大洋洲
TO	061	009	汤加	玻利尼西亚	大洋洲
TV	061	009	图瓦卢	玻利尼西亚	大洋洲
WF	061	009	瓦利斯和富图纳	玻利尼西亚	大洋洲
WS	061	009	萨摩亚	玻利尼西亚	大洋洲
AC	QO	009	阿森松岛	大洋洲边远群岛	大洋洲
AQ	QO	009	南极洲	大洋洲边远群岛	大洋洲
BV	QO	009	布维岛	大洋洲边远群岛	大洋洲
CC	QO	009	科科斯（基林）群岛	大洋洲边远群岛	大洋洲
CP	QO	009	克利珀顿岛	大洋洲边远群岛	大洋洲
CX	QO	009	圣诞岛	大洋洲边远群岛	大洋洲
DG	QO	009	迪戈加西亚岛	大洋洲边远群岛	大洋洲
GS	QO	009	南乔治亚岛和南桑威齐群岛	大洋洲边远群岛	大洋洲
HM	QO	009	赫德岛和麦克唐纳群岛	大洋洲边远群岛	大洋洲
IO	QO	009	英属印度洋领地	大洋洲边远群岛	大洋洲
TA	QO	009	特里斯坦-达库尼亚群岛	大洋洲边远群岛	大洋洲
TF	QO	009	法属南部领地	大洋洲边远群岛	大洋洲
UM	QO	009	美国本土外小岛屿	大洋洲边远群岛	大洋洲
AR	005	019	阿根廷	南美洲	美洲
BO	005	019	玻利维亚	南美洲	美洲
BR	005	019	巴西	南美洲	美洲
CL	005	019	智利	南美洲	美洲
CO	005	019	哥伦比亚	南美洲	美洲
EC	005	019	厄瓜多尔	南美洲	美洲
FK	005	019	福克兰群岛	南美洲	美洲
GF	005	019	法属圭亚那	南美洲	美洲
GY	005	019	圭亚那	南美洲	美洲
PE	005	019	秘鲁	南美洲	美洲
PY	005	019	巴拉圭	南美洲	美洲
SR	005	019	苏里南	南美洲	美洲
UY	005	019	乌拉圭	南美洲	美洲
VE	005	019	委内瑞拉	南美洲	美洲
BZ	013	019	伯利兹	中美洲	美洲
CR	013	019	哥斯达黎加	中美洲	美洲
GT	013	019	危地马拉	中美洲	美洲
HN	013	019	洪都拉斯	中美洲	美洲
MX	013	019	墨西哥	中美洲	美洲
NI	013	019	尼加拉瓜	中美洲	美洲
PA	013	019	巴拿马	中美洲	美洲
SV	013	019	萨尔瓦多	中美洲	美洲
BM	021	019	百慕大	美洲北部	美洲
CA	021	019	加拿大	美洲北部	美洲
